rank,catchment_code,catchment_name,state,dpa_gp_status_2025,opportunity_score,need_index,population_latest,population_growth_1y_pct,median_age,median_household_income_weekly,seifa_irsd_score_2021,sa2_code,sa2_name
84,GP1083,Gloucester,NSW,Y,87.46,0.7214,5366,0.374,55,1069,943,108051167,Gloucester
85,GP2116,Sale,VIC,Y,87.32,0.7182,5020,1.108,52,1079,978,205051100,Longford - Loch Sport
86,GP2014,Benalla,VIC,Y,87.29,0.7175,10890,0.843,51,1142,950,204021063,Benalla
87,GP1151,Nambucca Heads - Macksville,NSW,Y,87.28,0.7173,5366,0.393,50,998,924,108021157,Macksville - Scotts Head
88,GP4054,Murray Bridge,SA,Y,87.22,0.716,19710,1.703,42,1077,873,407031165,Murray Bridge
89,GP1013,Batemans Bay,NSW,Y,87.14,0.7142,3700,2.465,53,1290,995,101041024,Eurobodalla Hinterland
90,GP1142,Moruya,NSW,Y,87.14,0.7142,3700,2.465,53,1290,995,101041024,Eurobodalla Hinterland
91,GP2098,Nagambie,VIC,Y,87.14,0.7143,4841,2.629,51,1293,988,204011058,Nagambie
92,GP3141,Stanthorpe,QLD,Y,87.14,0.7143,6499,1.262,49,1137,961,307031188,Stanthorpe Surrounds
93,GP4009,Booleroo Centre,SA,Y,86.98,0.7107,5409,-0.405,55,931,917,405031121,Peterborough - Mount Remarkable
94,GP4060,Orroroo,SA,Y,86.98,0.7107,5409,-0.405,55,931,917,405031121,Peterborough - Mount Remarkable
95,GP4062,Peterborough,SA,Y,86.98,0.7107,5409,-0.405,55,931,917,405031121,Peterborough - Mount Remarkable
96,GP4066,Port Augusta,SA,Y,86.98,0.7107,5409,-0.405,55,931,917,405031121,Peterborough - Mount Remarkable
97,GP1188,Sussex Inlet,NSW,Y,86.86,0.7081,15357,0.774,50,1098,951,114011279,St Georges Basin - Erowal Bay
98,GP1202,Ulladulla,NSW,Y,86.77,0.7059,5959,1.499,56,1144,1008,114011283,Ulladulla Surrounds
99,GP1152,Narooma,NSW,Y,86.63,0.7029,10016,0.694,59,1017,986,101041027,Narooma - Bermagui
100,GP2037,Cowes,VIC,Y,86.63,0.7029,14543,1.885,52,1175,1005,205031091,Phillip Island
101,GP1065,Dorrigo,NSW,Y,86.57,0.7015,3225,0.124,54,939,948,104021087,Dorrigo
102,GP4085,Waikerie,SA,Y,86.52,0.7004,6772,0.281,50,1027,926,407031170,Waikerie
103,GP6010,Deloraine,TAS,Y,86.5,0.7001,6325,0.765,48,1093,940,602021054,Deloraine
104,GP1082,Glen Innes,NSW,Y,86.15,0.6923,8978,-0.122,50,934,906,110021190,Glen Innes
105,GP1187,Stroud - Bulahdelah,NSW,Y,86.1,0.6912,5394,0.616,51,1189,946,108011151,Bulahdelah - Stroud
106,GP6019,George Town,TAS,Y,86,0.6889,7428,0.135,48,1002,862,602031059,George Town
107,GP4012,Burra,SA,Y,85.94,0.6876,4147,0.145,51,917,947,405021118,Goyder
108,GP4025,Eudunda,SA,Y,85.94,0.6876,4147,0.145,51,917,947,405021118,Goyder
109,GP4030,Jamestown,SA,Y,85.94,0.6876,4147,0.145,51,917,947,405021118,Goyder
110,GP1201,Tweed Heads,NSW,Y,85.7,0.6822,21283,1.275,49,1182,973,112031254,Tweed Heads
111,GP4019,Coober Pedy,SA,Y,85.63,0.6806,1526,-1.548,50,764,868,406021139,Coober Pedy
112,GP1109,Kempsey,NSW,Y,85.55,0.6788,9589,0.419,51,1160,943,108021156,Kempsey Surrounds
113,GP1184,South West Rocks,NSW,Y,85.55,0.6788,9589,0.419,51,1160,943,108021156,Kempsey Surrounds
114,GP5030,Dongara,WA,Y,85.48,0.6774,3864,0.573,53,1168,966,511041289,Irwin
115,GP4071,Quorn,SA,Y,85.47,0.677,2190,-0.273,54,1047,940,406021140,Quorn - Lake Gilles
116,GP4088,Whyalla,SA,Y,85.47,0.677,2190,-0.273,54,1047,940,406021140,Quorn - Lake Gilles
117,GP2063,Inglewood,VIC,Y,85.42,0.6761,7260,0.055,52,1027,947,202031033,Loddon
118,GP2139,Wedderburn,VIC,Y,85.42,0.6761,7260,0.055,52,1027,947,202031033,Loddon
119,GP2157,Boort,VIC,Y,85.42,0.6761,7260,0.055,52,1027,947,202031033,Loddon
120,GP2158,Cohuna,VIC,Y,85.42,0.6761,7260,0.055,52,1027,947,202031033,Loddon
121,GP6039,Sheffield,TAS,Y,85.4,0.6755,6905,0.906,49,1209,953,604021091,Sheffield - Railton
122,GP5008,Boyup Brook,WA,Y,85.39,0.6752,7756,1.798,50,1230,999,501031017,Bridgetown - Boyup Brook
123,GP5009,Bridgetown,WA,Y,85.39,0.6752,7756,1.798,50,1230,999,501031017,Bridgetown - Boyup Brook
124,GP1060,Corowa,NSW,Y,85.34,0.6742,7507,1.611,50,1248,990,109031181,Corowa Surrounds
125,GP1146,Mulwala,NSW,Y,85.34,0.6742,7507,1.611,50,1248,990,109031181,Corowa Surrounds
126,GP5031,Donnybrook,WA,Y,85.21,0.6713,6584,2.236,49,1332,987,501031018,Donnybrook - Balingup
127,GP1095,Hay,NSW,Y,85.2,0.6711,2880,1.124,48,1236,957,109021177,Hay
128,GP3026,Caboolture,QLD,Y,85.18,0.6706,14299,5.52,39,1300,908,313021573,Caboolture - West
129,GP3100,Mossman,QLD,Y,85.18,0.6708,6979,1.072,47,1201,950,306041164,Daintree
130,GP2050,Euroa,VIC,Y,85.12,0.6693,6898,0.525,55,1133,978,204011055,Euroa
131,GP2051,Foster,VIC,Y,85.05,0.6678,9609,1.073,54,1110,1005,205031087,Foster
132,GP3118,Palm Island,QLD,Y,84.99,0.6664,2287,3.344,26,977,567,318011466,Palm Island
133,GP6048,Westbury - Hadspen,TAS,Y,84.97,0.666,4677,1.343,47,1211,966,602021057,Westbury
134,GP1057,Coonabarabran,NSW,Y,84.95,0.6656,7946,-0.025,50,1079,924,105031099,Coonabarabran
135,GP6003,Bothwell,TAS,Y,84.95,0.6656,2490,-0.44,50,1017,912,603011065,Central Highlands
136,GP6035,Ouse,TAS,Y,84.95,0.6656,2490,-0.44,50,1017,912,603011065,Central Highlands
137,GP1059,Cootamundra,NSW,Y,84.94,0.6654,7722,0.065,51,1054,947,113031263,Cootamundra
